행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단 (전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단 (전체)
1101058,종로구,교남동,2 ,50 ,259 ,34 ,3 ,2 ,2 ,2 ,4 ,2 ,3 ,2 ,4 ,3 
1101058,종로구,교남동,2 ,55 ,190 ,25 ,2 ,2 ,2 ,1 ,0 ,1 ,3 ,1 ,1 ,0 
1101058,종로구,교남동,2 ,60 ,214 ,29 ,3 ,2 ,3 ,1 ,2 ,1 ,2 ,2 ,1 ,2 
1101058,종로구,교남동,2 ,65 ,161 ,37 ,2 ,2 ,4 ,1 ,4 ,0 ,2 ,2 ,3 ,3 
1101058,종로구,교남동,2 ,70 ,114 ,43 ,5 ,4 ,0 ,3 ,0 ,0 ,3 ,7 ,2 ,2 
1101058,종로구,교남동,2 ,75 ,189 ,74 ,1 ,1 ,2 ,1 ,1 ,0 ,1 ,2 ,5 ,1 
1101060,종로구,가회동,1 ,20 ,125 ,42 ,2 ,5 ,13 ,11 ,3 ,2 ,11 ,0 ,2 ,0 
1101060,종로구,가회동,1 ,25 ,138 ,48 ,7 ,1 ,4 ,3 ,4 ,4 ,4 ,7 ,4 ,4 
1101060,종로구,가회동,1 ,30 ,192 ,74 ,26 ,12 ,6 ,17 ,11 ,8 ,15 ,10 ,10 ,10 
1101060,종로구,가회동,1 ,35 ,179 ,64 ,11 ,2 ,10 ,4 ,6 ,9 ,2 ,4 ,8 ,6 
1101060,종로구,가회동,1 ,40 ,204 ,50 ,9 ,5 ,6 ,5 ,7 ,4 ,6 ,4 ,4 ,4 
1101060,종로구,가회동,1 ,45 ,217 ,49 ,16 ,10 ,8 ,6 ,9 ,3 ,11 ,4 ,5 ,9 
1101060,종로구,가회동,1 ,50 ,171 ,31 ,4 ,1 ,2 ,2 ,0 ,2 ,4 ,3 ,4 ,4 
1101060,종로구,가회동,1 ,55 ,159 ,30 ,6 ,3 ,1 ,2 ,7 ,1 ,4 ,3 ,1 ,4 
1101060,종로구,가회동,1 ,60 ,138 ,25 ,2 ,4 ,2 ,2 ,6 ,1 ,2 ,3 ,2 ,3 
1101060,종로구,가회동,1 ,65 ,122 ,32 ,3 ,2 ,5 ,2 ,2 ,0 ,3 ,1 ,2 ,0 
1101060,종로구,가회동,1 ,70 ,69 ,20 ,2 ,4 ,0 ,2 ,3 ,0 ,4 ,2 ,0 ,0 
1101060,종로구,가회동,1 ,75 ,137 ,46 ,0 ,1 ,4 ,0 ,0 ,1 ,0 ,1 ,7 ,0 
1101060,종로구,가회동,2 ,20 ,129 ,45 ,2 ,7 ,2 ,2 ,0 ,3 ,0 ,0 ,2 ,0 
1101060,종로구,가회동,2 ,25 ,175 ,65 ,14 ,5 ,8 ,8 ,0 ,5 ,8 ,3 ,5 ,7 
1101060,종로구,가회동,2 ,30 ,192 ,72 ,11 ,8 ,2 ,2 ,0 ,9 ,11 ,10 ,6 ,0 
1101060,종로구,가회동,2 ,35 ,185 ,62 ,4 ,8 ,0 ,8 ,6 ,5 ,4 ,0 ,2 ,6 
1101060,종로구,가회동,2 ,40 ,231 ,56 ,7 ,12 ,5 ,10 ,12 ,3 ,8 ,7 ,5 ,8 
1101060,종로구,가회동,2 ,45 ,211 ,46 ,4 ,9 ,2 ,6 ,0 ,4 ,5 ,3 ,1 ,9 
1101060,종로구,가회동,2 ,50 ,192 ,37 ,5 ,4 ,3 ,2 ,9 ,1 ,5 ,3 ,5 ,9 
